,id,midi_unformatted,year,midi_query,midi,match_score
912,1806,Pitt-Payne/Canned Corn.mid,1910.0,pittpayne-canned_corn,pittpayne-canned_corn__pittpayne.mid,74
913,1841,Pitt-Payne/Car-Barlick-Acid.mid,1901.0,pittpayne-carbarlickacid,pittpayne-carbarlickacid__pittpayne.mid,76
914,1855,Pitt-Payne/Careless Sam.mid,1900.0,pittpayne-careless_sam,pittpayne-careless_sam__pittpayne.mid,75
915,1861,Pitt-Payne/Carmenita.mid,1911.0,pittpayne-carmenita,pittpayne-carmenita__pittpayne.mid,72
916,1863,Pitt-Payne/Carnation.mid,1902.0,pittpayne-carnation,pittpayne-carnation__pittpayne.mid,72
917,1869,Pitt-Payne/Carnival Times.mid,1905.0,pittpayne-carnival_times,pittpayne-carnival_times__pittpayne.mid,76
918,1887,Pitt-Payne/Carolina Shout.mid,1921.0,pittpayne-carolina_shout,pittpayne-carolina_shout__pittpayne.mid,76
919,1891,Pitt-Payne/Carolina Tar Heel.mid,1899.0,pittpayne-carolina_tar_heel,pittpayne-carolina_tar_heel__pittpayne.mid,78
920,1899,Pitt-Payne/Carpet Rags.mid,1903.0,pittpayne-carpet_rags,pittpayne-carpet_rags__pittpayne.mid,74
921,1908,Pitt-Payne/Carus Breeze  The.mid,1914.0,pittpayne-carus_breeze__the,pittpayne-carus_breeze_the__pittpayne.mid,76
922,1912,Pitt-Payne/Casey Jones.mid,1909.0,pittpayne-casey_jones,pittpayne-casey_jones__pittpayne.mid,74
923,1920,Pitt-Payne/Castle Maxixe.mid,1914.0,pittpayne-castle_maxixe,pittpayne-castle_maxixe__pittpayne.mid,75
924,1926,Pitt-Payne/Castle Walk  The.mid,1913.0,pittpayne-castle_walk__the,pittpayne-castle_walk_the__pittpayne.mid,76
925,1934,Pitt-Payne/Cat On The Keyboard  The.mid,1915.0,pittpayne-cat_on_the_keyboard__the,pittpayne-cat_on_the_keyboard_the__pittpayne.mid,80
926,1937,Pitt-Payne/Catch of Tokio  The.mid,1906.0,pittpayne-catch_of_tokio__the,pittpayne-catch_of_tokio_the__pittpayne.mid,78
927,1956,Pitt-Payne/Cavalier Rustican' Rag.mid,1910.0,pittpayne-cavalier_rustican_rag,pittpayne-cavalier_rustican_rag__pittpayne.mid,81
928,1959,Pitt-Payne/Cazador.mid,1904.0,pittpayne-cazador,pittpayne-cazador__pittpayne.mid,69
929,1969,Pitt-Payne/Celebratin' Day In Tennessee.mid,1914.0,pittpayne-celebratin_day_in_tennessee,pittpayne-celebratin_day_in_tennessee__pittpayne.mid,83
930,1974,Pitt-Payne/Celebrity  The.mid,1904.0,pittpayne-celebrity__the,pittpayne-celebrity_the__pittpayne.mid,74
931,2016,Pitt-Payne/Charcoal.mid,1903.0,pittpayne-charcoal,pittpayne-charcoal__pittpayne.mid,71
932,2037,Pitt-Payne/Chasing The Chickens.mid,1917.0,pittpayne-chasing_the_chickens,pittpayne-chasing_the_chickens__pittpayne.mid,80
933,2042,Pitt-Payne/Chattanooga Blues .mid,1914.0,pittpayne-chattanooga_blues_,pittpayne-chattanooga_blues_song__pittpayne.mid,75
934,2046,Pitt-Payne/Chauffeur  The.mid,1906.0,pittpayne-chauffeur__the,pittpayne-chauffeur_the__pittpayne.mid,74
935,2050,Pitt-Payne/Checker Rag.mid,1911.0,pittpayne-checker_rag,pittpayne-checker_rag__pittpayne.mid,74
936,2060,Pitt-Payne/Cheerful Blues.mid,1917.0,pittpayne-cheerful_blues,pittpayne-cheerful_blues__pittpayne.mid,76
937,2061,Pitt-Payne/Cheerful Charlie Jones.mid,1905.0,pittpayne-cheerful_charlie_jones,pittpayne-cheerful_charlie_jones__pittpayne.mid,81
938,2073,Pitt-Payne/Cherry Leaf Rag.mid,1909.0,pittpayne-cherry_leaf_rag,pittpayne-cherry_leaf_rag__pittpayne.mid,77
939,2070,Pitt-Payne/Cherry.mid,1905.0,pittpayne-cherry,pittpayne-cherry__pittpayne.mid,68
940,2079,Pitt-Payne/Chevy Chase  The.mid,1914.0,pittpayne-chevy_chase__the,pittpayne-chevy_chase_the__pittpayne.mid,76
941,2084,Pitt-Payne/Cheyenne (Shy Ann).mid,1905.0,pittpayne-cheyenne_shy_ann,pittpayne-cheyenne_shy_ann__pittpayne.mid,78
942,2100,Pitt-Payne/Chicken Charlie.mid,1905.0,pittpayne-chicken_charlie,pittpayne-chicken_charlie__pittpayne.mid,77
943,2101,Pitt-Payne/Chicken Chowder.mid,1905.0,pittpayne-chicken_chowder,pittpayne-chicken_chowder__pittpayne.mid,77
944,2106,Pitt-Payne/Chicken Patty.mid,1908.0,pittpayne-chicken_patty,pittpayne-chicken_patty__pittpayne.mid,75
945,2109,Pitt-Payne/Chicken Pie.mid,1929.0,pittpayne-chicken_pie,pittpayne-chicken_pie__pittpayne.mid,74
946,2112,Pitt-Payne/Chicken Rag  The.mid,1911.0,pittpayne-chicken_rag__the,pittpayne-chicken_rag_the__pittpayne.mid,76
947,2114,Pitt-Payne/Chicken Reel .mid,1911.0,pittpayne-chicken_reel_,pittpayne-chicken_reel_song__pittpayne.mid,71
948,2117,Pitt-Payne/Chicken Tango.mid,1914.0,pittpayne-chicken_tango,pittpayne-chicken_tango__pittpayne.mid,75
949,2130,Pitt-Payne/Chili Con Carne.mid,1911.0,pittpayne-chili_con_carne,pittpayne-chili_con_carne__pittpayne.mid,77
950,2136,Pitt-Payne/Chilli-Billi-Bee Rag.mid,1910.0,pittpayne-chillibillibee_rag,pittpayne-chillibillibee_rag__pittpayne.mid,79
951,2140,Pitt-Payne/Chimes.mid,1910.0,pittpayne-chimes,pittpayne-chimes__pittpayne.mid,68
952,2154,Pitt-Payne/Chin-Chin Chinaman.mid,1917.0,pittpayne-chinchin_chinaman,pittpayne-chinchin_chinaman__pittpayne.mid,78
953,2147,Pitt-Payne/China Boy.mid,1922.0,pittpayne-china_boy,pittpayne-china_boy__pittpayne.mid,72
954,2153,"Pitt-Payne/Chinatown, My Chinatown.mid",1910.0,pittpayne-chinatown_my_chinatown,pittpayne-chinatown_my_chinatown__pittpayne.mid,81
955,2161,Pitt-Payne/Ching Chong.mid,1917.0,pittpayne-ching_chong,pittpayne-ching_chong__pittpayne.mid,74
956,2188,Pitt-Payne/Chop-House Rag  The.mid,1911.0,pittpayne-chophouse_rag__the,pittpayne-chophouse_rag_the__pittpayne.mid,77
957,2211,Pitt-Payne/Chrysanthemum  The.mid,1904.0,pittpayne-chrysanthemum__the,pittpayne-chrysanthemum_the__pittpayne.mid,77
958,2233,Pitt-Payne/Circles.mid,1910.0,pittpayne-circles,pittpayne-circles__pittpayne.mid,69
959,2236,Pitt-Payne/Circus Day In Dixie.mid,1915.0,pittpayne-circus_day_in_dixie,pittpayne-circus_day_in_dixie__pittpayne.mid,79
960,2277,Pitt-Payne/Cleopatra Had A Jazz Band.mid,1917.0,pittpayne-cleopatra_had_a_jazz_band,pittpayne-cleopatra_had_a_jazz_band__pittpayne.mid,82
961,2287,Pitt-Payne/Climax Rag.mid,1914.0,pittpayne-climax_rag,pittpayne-climax_rag__pittpayne.mid,73
962,2295,Pitt-Payne/Clorinda.mid,1901.0,pittpayne-clorinda,pittpayne-clorinda__pittpayne.mid,71
963,2300,Pitt-Payne/Clothilda.mid,1905.0,pittpayne-clothilda,pittpayne-clothilda__pittpayne.mid,72
964,2302,Pitt-Payne/Cloud Kisser.mid,1911.0,pittpayne-cloud_kisser,pittpayne-cloud_kisser__pittpayne.mid,75
965,2306,Pitt-Payne/Cloud-Chief.mid,1910.0,pittpayne-cloudchief,pittpayne-cloudchief__pittpayne.mid,73
966,2311,Pitt-Payne/Clover Club.mid,1918.0,pittpayne-clover_club,pittpayne-clover_club__pittpayne.mid,74
967,2347,Pitt-Payne/Cohan's Rag Babe.mid,1908.0,pittpayne-cohans_rag_babe,pittpayne-cohans_rag_babe__pittpayne.mid,77
968,2353,Pitt-Payne/Coldwater Rag.mid,1913.0,pittpayne-coldwater_rag,pittpayne-coldwater_rag__pittpayne.mid,75
969,2354,Pitt-Payne/Cole Smoak.mid,1906.0,pittpayne-cole_smoak,pittpayne-cole_smoak__pittpayne.mid,73
970,2357,Pitt-Payne/Collars And Cuffs.mid,1907.0,pittpayne-collars_and_cuffs,pittpayne-collars_and_cuffs__pittpayne.mid,78
971,2361,Pitt-Payne/College Inn Rag  The.mid,1915.0,pittpayne-college_inn_rag__the,pittpayne-college_inn_rag_the__pittpayne.mid,78
972,2371,Pitt-Payne/Colonial Rag.mid,1914.0,pittpayne-colonial_rag,pittpayne-colonial_rag__pittpayne.mid,75
973,2377,Pitt-Payne/Colored Aristocracy.mid,1899.0,pittpayne-colored_aristocracy,pittpayne-colored_aristocracy__pittpayne.mid,79
974,2388,Pitt-Payne/Colored Fireworks.mid,1904.0,pittpayne-colored_fireworks,pittpayne-colored_fireworks__pittpayne.mid,78
975,2391,Pitt-Payne/Colored Major  The.mid,1900.0,pittpayne-colored_major__the,pittpayne-colored_major_the__pittpayne.mid,77
976,2394,Pitt-Payne/Colored Romeo.mid,1910.0,pittpayne-colored_romeo,pittpayne-colored_romeo__pittpayne.mid,75
977,2396,Pitt-Payne/Columbia.mid,1910.0,pittpayne-columbia,pittpayne-columbia__pittpayne.mid,71
978,2408,Pitt-Payne/Come Along To Honeymoon Land.mid,1912.0,pittpayne-come_along_to_honeymoon_land,pittpayne-come_along_to_honeymoon_land__pittpayne.mid,84
979,2418,"Pitt-Payne/Come Ma' Honey, Come.mid",1913.0,pittpayne-come_ma_honey_come,pittpayne-come_ma_honey_come__pittpayne.mid,79
980,2420,Pitt-Payne/Come On And Kiss Your Baby.mid,1907.0,pittpayne-come_on_and_kiss_your_baby,pittpayne-come_on_and_kiss_your_baby__pittpayne.mid,83
981,2432,Pitt-Payne/Come To The Beautiful Ragtime Ball.mid,1915.0,pittpayne-come_to_the_beautiful_ragtime_ball,pittpayne-come_to_the_beautiful_ragtime_ball__pittpayne.mid,85
982,2440,Pitt-Payne/Comical Eyes.mid,1909.0,pittpayne-comical_eyes,pittpayne-comical_eyes__pittpayne.mid,75
983,2448,Pitt-Payne/Commonwealth Rag.mid,1914.0,pittpayne-commonwealth_rag,pittpayne-commonwealth_rag__pittpayne.mid,78
984,2452,Pitt-Payne/Comus.mid,1904.0,pittpayne-comus,pittpayne-comus__pittpayne.mid,67
985,2489,Pitt-Payne/Contentment.mid,1915.0,pittpayne-contentment,pittpayne-contentment__pittpayne.mid,74
986,2492,Pitt-Payne/Continental  The.mid,1934.0,pittpayne-continental__the,pittpayne-continental_the__pittpayne.mid,76
987,2510,Pitt-Payne/Coon Behind The Gun  The.mid,1900.0,pittpayne-coon_behind_the_gun__the,pittpayne-coon_behind_the_gun_the__pittpayne.mid,80
988,2523,Pitt-Payne/Coon Smiles.mid,1902.0,pittpayne-coon_smiles,pittpayne-coon_smiles__pittpayne.mid,74
989,2524,Pitt-Payne/Coon Town Chappie.mid,1901.0,pittpayne-coon_town_chappie,pittpayne-coon_town_chappie__pittpayne.mid,78
990,2525,Pitt-Payne/Coon Up A Tree.mid,1900.0,pittpayne-coon_up_a_tree,pittpayne-coon_up_a_tree__pittpayne.mid,76
991,2527,Pitt-Payne/Coon With The Panama  The.mid,1902.0,pittpayne-coon_with_the_panama__the,pittpayne-coon_with_the_panama_the__pittpayne.mid,81
992,2529,Pitt-Payne/Coon! Coon! Coon! .mid,1900.0,pittpayne-coon_coon_coon_,pittpayne-coon_coon_coon_song__pittpayne.mid,72
993,2539,Pitt-Payne/Coon's Eye  The.mid,1899.0,pittpayne-coons_eye__the,pittpayne-coons_eye_the__pittpayne.mid,74
994,2546,Pitt-Payne/Coons Jubilee March  The.mid,1898.0,pittpayne-coons_jubilee_march__the,pittpayne-coons_jubilee_march_the__pittpayne.mid,80
995,2545,Pitt-Payne/Coons in the Canebrake.mid,1900.0,pittpayne-coons_in_the_canebrake,pittpayne-coons_in_the_canebrake__pittpayne.mid,81
996,2559,Pitt-Payne/Coontown Capers .mid,1897.0,pittpayne-coontown_capers_,pittpayne-coontown_capers_song__pittpayne.mid,73
997,2560,Pitt-Payne/Coontown Carnival.mid,1898.0,pittpayne-coontown_carnival,pittpayne-coontown_carnival__pittpayne.mid,78
998,2574,Pitt-Payne/Coontown Vacation.mid,1900.0,pittpayne-coontown_vacation,pittpayne-coontown_vacation__pittpayne.mid,78
999,2581,Pitt-Payne/Cootie Tickle.mid,1919.0,pittpayne-cootie_tickle,pittpayne-cootie_tickle__pittpayne.mid,75
1000,2585,Pitt-Payne/Copenhagen.mid,1924.0,pittpayne-copenhagen,pittpayne-copenhagen__pittpayne.mid,73
1001,2611,Pitt-Payne/Corn-Shucks.mid,1908.0,pittpayne-cornshucks,pittpayne-cornshucks__pittpayne.mid,73
1002,2608,Pitt-Payne/Cornfield Rag  The.mid,1912.0,pittpayne-cornfield_rag__the,pittpayne-cornfield_rag_the__pittpayne.mid,77
1003,2613,Pitt-Payne/Corona March.mid,1911.0,pittpayne-corona_march,pittpayne-corona_march__pittpayne.mid,75
1004,2614,Pitt-Payne/Coronado Nights.mid,1927.0,pittpayne-coronado_nights,pittpayne-coronado_nights__pittpayne.mid,77
1005,2616,Pitt-Payne/Coronation Rag.mid,1953.0,pittpayne-coronation_rag,pittpayne-coronation_rag__pittpayne.mid,76
1006,2621,Pitt-Payne/Cosey Rag  The.mid,1911.0,pittpayne-cosey_rag__the,pittpayne-cosey_rag_the__pittpayne.mid,74
1007,2635,Pitt-Payne/Cotton Blossom Time.mid,1914.0,pittpayne-cotton_blossom_time,pittpayne-cotton_blossom_time__pittpayne.mid,79
1008,2644,Pitt-Payne/Cotton Hollow Harmony.mid,1918.0,pittpayne-cotton_hollow_harmony,pittpayne-cotton_hollow_harmony__pittpayne.mid,81
1009,2662,Pitt-Payne/Cotton States Rag.mid,1910.0,pittpayne-cotton_states_rag,pittpayne-cotton_states_rag__pittpayne.mid,78
1010,2682,Pitt-Payne/Country Club.mid,1909.0,pittpayne-country_club,pittpayne-country_club__pittpayne.mid,75
