ID,MIDI,YEAR,MIDI_query,match_found,match_score
435,Mezjuev/Antiquity Rag.mid,1991,mezjuev-antiquity_rag,collectie_a-altamira_rag__bowie.mid,36
462,Mezjuev/Apple Blossoms.mid,1985,mezjuev-apple_blossoms,collectie_b-cannon_ball_the__bokertov.mid,35
532,Mezjuev/As It Was In The 'Aught-Six Quake.mid,2006,mezjuev-as_it_was_in_the_aughtsix_quake,collectie_a-at_a_georgia_campmeeting__bokertov.mid,36
992,Mezjuev/Big Man The.mid,1990,mezjuev-big_man_the,collectie_a-big_daddy_rag__bowie.mid,36
